AÑO DOCUMENTO,MES,subtipo,Numero documento,FECHA,ID_NIT,ID_NOMBRE_CLIENTE,SUB_PED,PEDIDO,VALOR NETO,por_iva,IVA,VALOR CON IVA,% ICA,RETENCION  ICA,Cod Ica,%RETENCION,COD RETENCION,RETEFUENTE,VAL TOTAL,ORDEN DE COMPRA,OBSERVACION,est Dian,Usuario,vendedor,VENDEDOR2
2024,01,010  ,FE13501       ,02/01/2024,1,CLIENTE_1,0    ,0             ,3369826,0,0,3369826,"4,14","13951,08",100018,1,16 ,"33698,26","3322176,66",4824117                                                               ,SERVICIO DE TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADOS EN EL MES DE DICIEMBRE SEGUN OC 4824117,1 ,TREYES,01 ,0  
2024,01,010  ,FE13502       ,02/01/2024,1,CLIENTE_1,0    ,0             ,3369826,0,0,3369826,"4,14","13951,08",100018,1,16 ,"33698,26","3322176,66",4824136                                                               ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS DURANTE EL MES DE DICIEMBRE SEGUN OC 4824136,1 ,TREYES,01 ,0  
2024,01,010  ,FE13503       ,02/01/2024,2,CLIENTE_2,005  ,2052          ,3443178,0,0,3443178,"4,14","14254,76",100018,1,16 ,"34431,78","3394491,46",0                                                                     ,SERVICIO DE MENSAJERIA FIJA DEL MES DE DICIEMBRE 2023,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13504       ,02/01/2024,3,CLIENTE_3,0    ,0             ,2146000,0,0,2146000,"4,14","8884,44",100018,1,16 ,21460,"2115655,56",9400069513                                                            ,SERVICIO DE MENSAJERIA Y TRANSPORTE TERRESTRE DE CARGA LIVIANA  OC 9400069513,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13505       ,02/01/2024,4,CLIENTE 4,005  ,2053          ,9948414,0,0,9948414,"8,28","41186,43",100018,2,16 ,"99484,14","9807743,43",0                                                                     ,SERVICIO DE MENSAJERIA FIJA DEL MES DE DICIEMBRE 2023,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13506       ,02/01/2024,1,CLIENTE_1,0    ,0             ,6876532,0,0,6876532,"4,14","28468,84",100018,1,16 ,"68765,32","6779297,84",4971707                                                               ,"SERVICIO DE MENSAJERIA PRESTADO DURANTE EL MES DE ENERO DE 2024 OC 4971707 ""PROYECTO MICROSOFT"".",1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13507       ,02/01/2024,6,CLIENTE 5,0    ,0             ,2871241,0,0,2871241,"4,14","11886,94",100018,1,16 ,"28712,41","2830641,65",4013                                                                  ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 4013,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13508       ,02/01/2024,7,CLIENTE_5,0    ,0             ,2310999,0,0,2310999,"4,14","9567,54",100018,1,16 ,"23109,99","2278321,47",42953                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 42953,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13509       ,02/01/2024,8,CLIENTE 6,0    ,0             ,560242,0,0,560242,"4,14","2319,4",100018,1,16 ,"5602,42","552320,18",99529                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 99529,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13510       ,02/01/2024,9,CLIENTE_6,0    ,0             ,420181,0,0,420181,"4,14","1739,55",100018,1,16 ,"4201,81","414239,64",2817                                                                  ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 2817,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13511       ,02/01/2024,10,CLIENTE 7,0    ,0             ,280121,0,0,280121,"4,14","1159,7",100018,1,16 ,"2801,21","276160,09",61260                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 61260,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13512       ,02/01/2024,11,CLIENTE_7,0    ,0             ,280121,0,0,280121,"4,14","1159,7",100018,1,16 ,"2801,21","276160,09",13818                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 13818,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13513       ,02/01/2024,12,CLIENTE 8,0    ,0             ,280121,0,0,280121,"4,14","1159,7",100018,1,16 ,"2801,21","276160,09",5706                                                                  ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 5706,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13514       ,02/01/2024,13,CLIENTE_8,005  ,2054          ,268310,0,0,268310,"4,14","1110,8",100018,1,16 ,"2683,1","264516,1",0                                                                     ,SERVICIO TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADOS EN DICIEMBRE 2023,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13515       ,03/01/2024,14,CLIENTE 9,005  ,2055          ,1814446,0,0,1814446,"865,26","7511,57",100018,209,16 ,"18144,46","1788789,97",0                                                                     ,SERVICIO TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADOS EN DICIEMBRE 2023,1 ,sncastaneda,01 ,0  
2024,01,010  ,FE13516       ,03/01/2024,15,CLIENTE_9,005  ,2056          ,1374740,0,0,1374740,"8,28","5691,42",100018,2,16 ,"13747,4","1355301,18",0                                                                     ,SERVICIO DE TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADO EN EL MES DE DICIEMBRE 2023,1 ,sncastaneda,02 ,0  
2024,01,010  ,FE13517       ,03/01/2024,16,CLIENTE 10,005  ,2057          ,1188350,0,0,1188350,"318,78","4919,96",100018,0,16 ,0,"1183430,04",0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANO PRESTADO EN EL MES DE DICIEMBRE 2023,1 ,sncastaneda,01 ,0  
