AÑO DOCUMENTO,MES,subtipo,Numero documento,FECHA,ID_NIT,ID_NOMBRE_CLIENTE,SUB_PED,PEDIDO,VALOR NETO,por_iva,IVA,VALOR CON IVA,% ICA,RETENCION  ICA,Cod Ica,%RETENCION,COD RETENCION,RETEFUENTE,VAL TOTAL,ORDEN DE COMPRA,OBSERVACION,est Dian,Usuario,vendedor,VENDEDOR2,MES_SERVICIO,ANIO_SERVICIO,fecha_servicio,fecha_facturacion,diff_factura_servicio
2024,1,10,FE13501       ,02/01/2024,1,CLIENTE_1,0,0.0,3369826.0,0,0.0,3369826.0,4.14,13951.08,100018,1,16 ,33698.26,3322176.66,4824117                                                               ,SERVICIO DE TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADOS EN EL MES DE DICIEMBRE SEGUN OC 4824117,1,TREYES,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13502       ,02/01/2024,1,CLIENTE_1,0,0.0,3369826.0,0,0.0,3369826.0,4.14,13951.08,100018,1,16 ,33698.26,3322176.66,4824136                                                               ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS DURANTE EL MES DE DICIEMBRE SEGUN OC 4824136,1,TREYES,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13503       ,02/01/2024,2,CLIENTE_2,5,2052.0,3443178.0,0,0.0,3443178.0,4.14,14254.76,100018,1,16 ,34431.78,3394491.46,0                                                                     ,SERVICIO DE MENSAJERIA FIJA DEL MES DE DICIEMBRE 2023,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13505       ,02/01/2024,4,CLIENTE 4,5,2053.0,9948414.0,0,0.0,9948414.0,8.28,41186.43,100018,2,16 ,99484.14,9807743.43,0                                                                     ,SERVICIO DE MENSAJERIA FIJA DEL MES DE DICIEMBRE 2023,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13506       ,02/01/2024,1,CLIENTE_1,0,0.0,6876532.0,0,0.0,6876532.0,4.14,28468.84,100018,1,16 ,68765.32,6779297.84,4971707                                                               ,"SERVICIO DE MENSAJERIA PRESTADO DURANTE EL MES DE ENERO DE 2024 OC 4971707 ""PROYECTO MICROSOFT"".",1,sncastaneda,1,0,1.0,2024.0,2024-01,2024-01,0
2024,1,10,FE13507       ,02/01/2024,6,CLIENTE 5,0,0.0,2871241.0,0,0.0,2871241.0,4.14,11886.94,100018,1,16 ,28712.41,2830641.65,4013                                                                  ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 4013,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13508       ,02/01/2024,7,CLIENTE_5,0,0.0,2310999.0,0,0.0,2310999.0,4.14,9567.54,100018,1,16 ,23109.99,2278321.47,42953                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 42953,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13509       ,02/01/2024,8,CLIENTE 6,0,0.0,560242.0,0,0.0,560242.0,4.14,2319.4,100018,1,16 ,5602.42,552320.18,99529                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 99529,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13510       ,02/01/2024,9,CLIENTE_6,0,0.0,420181.0,0,0.0,420181.0,4.14,1739.55,100018,1,16 ,4201.81,414239.64,2817                                                                  ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 2817,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13511       ,02/01/2024,10,CLIENTE 7,0,0.0,280121.0,0,0.0,280121.0,4.14,1159.7,100018,1,16 ,2801.21,276160.09,61260                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 61260,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13512       ,02/01/2024,11,CLIENTE_7,0,0.0,280121.0,0,0.0,280121.0,4.14,1159.7,100018,1,16 ,2801.21,276160.09,13818                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 13818,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13513       ,02/01/2024,12,CLIENTE 8,0,0.0,280121.0,0,0.0,280121.0,4.14,1159.7,100018,1,16 ,2801.21,276160.09,5706                                                                  ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DICIEMBRE 2023 SEGÚN OC 5706,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13514       ,02/01/2024,13,CLIENTE_8,5,2054.0,268310.0,0,0.0,268310.0,4.14,1110.8,100018,1,16 ,2683.1,264516.1,0                                                                     ,SERVICIO TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADOS EN DICIEMBRE 2023,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13515       ,03/01/2024,14,CLIENTE 9,5,2055.0,1814446.0,0,0.0,1814446.0,865.26,7511.57,100018,209,16 ,18144.46,1788789.97,0                                                                     ,SERVICIO TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADOS EN DICIEMBRE 2023,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13516       ,03/01/2024,15,CLIENTE_9,5,2056.0,1374740.0,0,0.0,1374740.0,8.28,5691.42,100018,2,16 ,13747.4,1355301.18,0                                                                     ,SERVICIO DE TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADO EN EL MES DE DICIEMBRE 2023,1,sncastaneda,2,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13517       ,03/01/2024,16,CLIENTE 10,5,2057.0,1188350.0,0,0.0,1188350.0,318.78,4919.96,100018,0,16 ,0.0,1183430.04,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANO PRESTADO EN EL MES DE DICIEMBRE 2023,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13518       ,03/01/2024,17,CLIENTE_10,5,2058.0,3924996.0,0,0.0,3924996.0,20.7,16249.48,100018,5,16 ,39249.96,3869496.56,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN DICIEMBRE 2023 CONTACTO WILMAR MOYANO ,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13519       ,03/01/2024,17,CLIENTE_10,5,2059.0,624087.0,0,0.0,624087.0,4.14,2583.72,100018,1,16 ,6240.87,615262.41,0                                                                     ,MENSAJERIA NACIONAL CARGA LIVIANA PRESTADO EN EL CORTE OCTUBRE-NOVIEMBRE 2023,1,jmanrique,1,0,11.0,2023.0,2023-11,2024-01,2
2024,1,10,FE13520       ,03/01/2024,18,CLIENTE 11,5,2060.0,4719503.0,19,11915.66,4731418.66,8.28,19538.75,100018,2,16 ,47195.03,4664684.88,0                                                                     ,SERVICIO DE TRANSPORTE TERRESTRE DE CARGA LIVIANA MENSAJERIA NACIONAL DE DICIEMBRE,1,jmanrique,2,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13521       ,03/01/2024,19,CLIENTE_11,5,2061.0,414797.0,0,0.0,414797.0,8.28,1717.26,100018,2,16 ,4147.97,408931.77,0                                                                     ,SERVICIO DE TRANSPORTE NACIONAL DE CARGA LIVIANA MES DICIEMBRE 2023,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13522       ,03/01/2024,20,CLIENTE 12,5,2062.0,625824.0,0,0.0,625824.0,4.14,2590.91,100018,1,16 ,6258.24,616974.85,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADAS EN EL MES DE DICIEMBRE 2023,1,sncastaneda,5,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13523       ,03/01/2024,21,CLIENTE_12,5,2063.0,64955.0,0,0.0,64955.0,4.14,268.91,100018,0,16 ,0.0,64686.09,COL0002799003                                                         , SERVICIO DE TRANSPORTE NACIONAL DE CARGA LIVIANA DEL MES DE NOVIEMBRE SEGUN OC COL0002799003 ,1,jmanrique,1,0,11.0,2023.0,2023-11,2024-01,2
2024,1,10,FE13524       ,03/01/2024,20,CLIENTE 12,5,2064.0,51916.0,0,0.0,51916.0,4.14,214.93,100018,0,16 ,0.0,51701.07,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA  PRESTADOS DEL MES DE DICIEMBRE  2023,1,sncastaneda,5,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13525       ,03/01/2024,20,CLIENTE 12,5,2065.0,47881.0,0,0.0,47881.0,4.14,198.23,100018,0,16 ,0.0,47682.77,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS DEL MES DE DICIEMBRE  2023,1,sncastaneda,5,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13527       ,03/01/2024,20,CLIENTE 12,5,2068.0,103368.0,0,0.0,103368.0,4.14,427.94,100018,0,16 ,0.0,102940.06,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN DICIEMBRE 2023 CALI,1,sncastaneda,5,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13528       ,03/01/2024,20,CLIENTE 12,5,2069.0,34456.0,0,0.0,34456.0,4.14,142.65,100018,0,16 ,0.0,34313.35,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN DICIEMBRE 2023 MEDELLIN,1,sncastaneda,5,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13529       ,03/01/2024,23,CLIENTE_13,5,2067.0,33877512.0,0,0.0,33877512.0,16.56,140252.91,100018,4,16 ,338775.12,33398483.97,4800063236                                                            ,SERVICIO DE TRANSPORTE NACIONAL CARGA LIVIANA DEL MES DE NOVIEMBRE SEGUN OC 4800063236 EM 5001293502,1,jmanrique,1,0,11.0,2023.0,2023-11,2024-01,2
2024,1,10,FE13530       ,04/01/2024,24,CLIENTE 14,5,2070.0,72607768.0,0,0.0,72607768.0,5054.94,300597.17,100018,1221,16 ,726077.68,71581093.15,0                                                                     ,SERVICIO DE TRANSPORTE NACIONAL DE CARGA LIVIANA DEL MES DE DICIEMBRE 2023,1,jmanrique,2,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13531       ,04/01/2024,24,CLIENTE 14,0,0.0,53354578.0,0,0.0,53354578.0,4607.82,220888.16,100018,1113,16 ,533545.78,52600144.06,0                                                                     ,SERVICIO DE TRANPORTE TERRESTRE DE CARGA LIVIANA PRESTADOS EN DICIEMBRE 2023,1,jmanrique,2,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13532       ,04/01/2024,25,CLIENTE_14,5,2071.0,730107.0,0,0.0,730107.0,12.42,3022.64,100018,3,16 ,7301.07,719783.29,0                                                                     ,SERVICIO DE TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADO EN EL MES DE DICIEMBRE 2023,1,sncastaneda,2,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13533       ,04/01/2024,10,CLIENTE 7,5,2072.0,24756128.0,0,0.0,24756128.0,28.98,102490.37,100018,7,16 ,247561.28,24406076.35,66048                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DE DICIEMBRE SEGUN OC 66048,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13534       ,04/01/2024,26,CLIENTE 15,5,2073.0,403222.0,0,0.0,403222.0,4.14,1669.34,100018,1,16 ,4032.22,397520.44,0                                                                     ,MENSAJERIA CARGA LIVIANA DURANTE NOV-DIC 2023 CONTRAT N °G-113-2020 CONTACTO FREDY CEBALLOS MONTOYA,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13536       ,04/01/2024,28,CLIENTE 16,5,2075.0,12259392.0,0,0.0,12259392.0,16.56,50753.89,100018,4,16 ,122593.92,12086044.19,1300002984                                                            ,TRANSPORTE DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADO EN DICIEMBRE SEGUN OC1300002984,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13537       ,05/01/2024,29,CLIENTE_16,5,2076.0,13488715.0,0,0.0,13488715.0,12.42,55843.28,100018,3,16 ,134887.15,13297984.57,4200234218                                                            ,SERVICIO MENSAJERIA NACIONAL CARGA LIVIANA PRESTADO EN DICIEMBRE SEUN OC 4200234218 UN GENERICOS,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13538       ,05/01/2024,29,CLIENTE_16,5,2077.0,1273372.0,0,0.0,1273372.0,8.28,5271.76,100018,2,16 ,12733.72,1255366.52,4200234218                                                            ,SERVICIO MENSAJERIA NACIONAL CARGA LIVIANA PRESTADO EN DICIEMBRE SEUN OC 4200234218 UN GENERICOS,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13539       ,05/01/2024,29,CLIENTE_16,5,2078.0,420456.0,0,0.0,420456.0,8.28,1740.69,100018,2,16 ,4204.56,414510.75,4200234218                                                            ,SERVICIO MENSAJERIA NACIONAL CARGA LIVIANA PRESTADO EN DICIEMBRE SEUN OC 4200234218 UN SPECILITY CAR,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13540       ,09/01/2024,30,CLIENTE 17,5,2079.0,39840660.0,0,0.0,39840660.0,41.4,164940.33,100018,10,16 ,398406.6,39277313.07,1001957024                                                            ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA DEL CORTE NOV-DIC SEHUN HES 1001957024,1,jmanrique,1,0,11.0,2023.0,2023-11,2024-01,2
2024,1,10,FE13542       ,09/01/2024,7,CLIENTE_5,5,2081.0,14421913.0,0,0.0,14421913.0,16.56,59706.72,100018,4,16 ,144219.13,14217987.15,48901                                                                 ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADO EN EL MES DE DICIEMBRE 2023 OC 48901,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13543       ,10/01/2024,31,CLIENTE_17,5,2082.0,4685880.0,0,0.0,4685880.0,4.14,19399.54,100018,1,16 ,46858.8,4619621.66,4902263411                                                            ,SERVICIO DE MENSAJERIA NACIONALPRESTADOS EN DICIEMBRE 2023 SEGUN OC4902263411 HAS 1018163419,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13544       ,10/01/2024,32,CLIENTE 18,5,2083.0,52746226.0,0,0.0,52746226.0,28.98,218369.37,100018,7,16 ,527462.26,52000394.37,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DE DICIEMBRE 2023,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13545       ,10/01/2024,33,CLIENTE_18,5,2085.0,7194424.0,0,0.0,7194424.0,2016.18,29784.7,100018,486,16 ,71901.62,7092737.68,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADO EN EL MES DE DICIEMBRE 2023,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13546       ,10/01/2024,34,CLIENTE 19,5,2086.0,80554.0,0,0.0,80554.0,4.14,333.49,100018,0,16 ,0.0,80220.51,0                                                                     ,SERVICIO DE MENSAJERIANA NACIONAL CARGA LIVIANA PRESTADOS EN EL MES DE DICIEMBRE 2023,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13547       ,10/01/2024,35,CLIENTE_19,5,2087.0,469196.0,0,0.0,469196.0,8.28,1942.47,100018,2,16 ,4691.96,462561.57,0                                                                     ,SERVICIO DE TRANSPORTE NACIONAL DE CARGA LIVIANA DEL MES DE DICIEMBRE 2023,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13552       ,12/01/2024,11,CLIENTE_7,5,2092.0,6858034.0,0,0.0,6858034.0,16.56,28392.26,100018,4,16 ,68580.34,6761061.4,15047                                                                 ,SERVICIO DE TRANSPORTE NACIONAL DE CARGA LIVIANA DEL MES DE DICIEMBRE SEGUN  OC15047,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13553       ,12/01/2024,12,CLIENTE 8,5,2093.0,273749.0,0,0.0,273749.0,8.28,1133.32,100018,2,16 ,2737.49,269878.19,6045                                                                  ,SERVICIO DE TRANSPORTE NACIONAL DE CARGA LIVIANA DEL MES DE DICIEMBRE SEGUN OC 6045,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13554       ,12/01/2024,10,CLIENTE 7,5,2094.0,5543634.0,0,0.0,5543634.0,24.84,22950.64,100018,6,16 ,55436.34,5465247.02,66113                                                                 ,SERVICIO DE TRANSPORTE NACIONAL DE CARGA LIVIANA DEL MES DE DICIEMBRE SEGUN OC 66113,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13555       ,12/01/2024,39,CLIENTE_21,5,2095.0,3476613.0,0,0.0,3476613.0,12.42,14393.17,100018,3,16 ,34766.13,3427453.7,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DE DICIEMBRE 2023,1,jmanrique,5,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13556       ,12/01/2024,40,CLIENTE 22,5,2096.0,13998624.0,0,0.0,13998624.0,8.28,57954.3,100018,2,16 ,139986.24,13800683.46,0503524                                                               ,SERVICIO DE MENDAJERIA FIJA PRESTADO EN EL MES DE DICIEMBRE 2023 SEGUN OC 0503524,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13557       ,12/01/2024,40,CLIENTE 22,5,2097.0,3217203.0,0,0.0,3217203.0,4.14,13319.22,100018,1,16 ,32172.03,3171711.75,0503525                                                               ,SERVICIO DE MENDAJERIA FIJA PRESTADO EN EL MES DE DICIEMBRE 2023 SEGUN OC 0503525,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13558       ,12/01/2024,41,CLIENTE_22,5,2098.0,10700011.0,0,0.0,10700011.0,20.7,44298.04,100018,5,16 ,107000.11,10548712.85,4543080283                                                            ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRETADOS EN EL CORTE DEL 18 AL 31 DE DICIEMBRE 2023,1,jmanrique,2,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13559       ,12/01/2024,42,CLIENTE 23,0,0.0,261719.0,0,0.0,261719.0,0.0,0.0,0,0,0  ,0.0,261719.0,0                                                                     ,SERVICIO DE TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADO DURANTE EL MES DE DICIEMBRE   2023,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13560       ,12/01/2024,43,CLIENTE_23,5,2100.0,34743379.0,0,0.0,34743379.0,8.28,143837.59,100018,2,16 ,347433.79,34252107.62,0                                                                     ,SERVICIO DE TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADOS EN EL CORTE NOV-DIC 2023,1,jmanrique,2,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13561       ,12/01/2024,44,CLIENTE 24,5,2099.0,20381441.0,0,0.0,20381441.0,24.84,84379.17,100018,6,16 ,203814.41,20093247.42,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE CARGA LIVIANA PRESTADOS EN EL MES DE DICIEMBRE 2023,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13562       ,12/01/2024,17,CLIENTE_10,5,2101.0,4027608.0,0,0.0,4027608.0,8.28,16674.3,100018,2,16 ,40276.08,3970657.62,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE DICIEMBRE-ENERO 2024 CONTACTO Luisa Fernanda Arcia Perdomo,1,jmanrique,1,0,1.0,2024.0,2024-01,2024-01,0
2024,1,10,FE13563       ,12/01/2024,17,CLIENTE_10,5,2102.0,3815538.0,0,0.0,3815538.0,8.28,15796.33,100018,2,16 ,38155.38,3761586.29,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE DICIEMBRE-ENERO 2024 CONTACTO Luisa Fernanda Arcia Perdomo,1,jmanrique,1,0,1.0,2024.0,2024-01,2024-01,0
2024,1,10,FE13564       ,12/01/2024,17,CLIENTE_10,5,2103.0,3261523.0,0,0.0,3261523.0,8.28,13502.71,100018,2,16 ,32615.23,3215405.06,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL DE DICIEMBRE-ENERO 2024 CONTACTO Luisa Fernanda Arcia Perdomo,1,jmanrique,1,0,1.0,2024.0,2024-01,2024-01,0
2024,1,10,FE13565       ,15/01/2024,17,CLIENTE_10,5,2104.0,8229332.0,0,0.0,8229332.0,20.7,34069.44,100018,5,16 ,82293.32,8112969.24,0                                                                     ,SERVICIO DE TRANSPORTE CARGA LIVIANA PRESTADO EN EL MES DE DICIEMBRE 2023,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13566       ,15/01/2024,45,CLIENTE_24,5,2105.0,10976597.0,0,0.0,10976597.0,8.28,45443.12,100018,2,16 ,109765.97,10821387.91,0                                                                     ,SERVICIO DE TRANSPORTE TERRESTRE DE CARGA LIVIANA PRESTADOS EN EL CORTE NOV- DIC 2023,1,sncastaneda,1,0,12.0,2023.0,2023-12,2024-01,1
2024,1,10,FE13567       ,15/01/2024,46,CLIENTE 25,5,2106.0,12604377.0,0,0.0,12604377.0,33.12,52182.13,100018,8,16 ,126043.77,12426151.1,0                                                                     ,SERVICIO DE MENSAJERIA NACIONAL PRESTADO EN EL CORTE DIC-ENE CONTACTO LUISA FERNANDA LERMA QUIMBAYO,1,jmanrique,1,0,12.0,2023.0,2023-12,2024-01,1
